,ISRG,AMZN,ARE,IPG,DHR,HOLX,NTAP,HUM,XOM,CCI,WY,TECH,CBRE,STX,MHK,MCK,C,CMI,ETR,A,SW,CFG,RTX,REG,TYL,NOW,FICO,FRT,AKAM,ADP,URI,WMB,CAT,JNJ,MPC,TPR,BF-B,CMCSA,ROL,CDNS,OXY,WRB,HSY,FIS,GLW,CAH,EOG,CCL,DLR,DTE
ETR,0.008583788651996509,0.014805191338110781,0.00693323298339774,0.022360663720204357,0.011948748621729628,0.010173417576787452,0.08140038527348134,0.013726483222325711,0.014458235614233199,0.004205210347516029,0.04869428732124809,0.05368728851049498,0.02248779156847822,0.026099848869520374,0.10825823843277661,0.031790728105724655,0.06895636004437698,0.006928225835482802,1.0,0.02414686020737319,0.010913312401425082,0.14469788742360004,0.011799553909503551,0.006639992348812267,0.02485772749425091,0.009157611675928228,0.01604269917798429,0.018571732201245895,0.20173354981380437,0.009653749938043733,0.019750093165173583,0.0685882093510638,0.010093049571960855,0.011861010759330834,0.12014777815539045,0.12136847712225726,0.08035468578941313,0.018813604800928307,0.03150187061128566,0.02933816819287384,0.006107592352920955,0.038762804707421154,0.11089072699367129,0.024882694558889168,0.01832361136023388,0.004962633315813476,0.006106137579413974,0.0049826274363798965,0.018021665125066914,0.12166505312189313
A,0.3665685485896164,0.010538736000406617,0.4710450709293635,0.22258099083612848,0.5160881951961379,0.00252795165892282,0.06601172531430248,0.0027987931008652696,0.3068272463282099,0.34907460766194115,0.2598981722058221,0.15604566343524082,0.2267144517915281,0.16806268135690405,0.03496600549816648,0.16011410746744612,0.24006947966261746,0.45683410463825197,0.02414686020737319,1.0,0.018438938194291706,0.14125427844947677,0.42980798470475806,0.5308415977832204,0.2203448397643747,0.27282015311151964,0.043678955179158215,0.37454144321222393,0.011338457994188818,0.5015908250338085,0.26338465082859586,0.03125407955923546,0.2094253165666039,0.4708340326628626,0.11694864555055856,0.05467735910974497,0.09169424295550051,0.2629869266740992,0.020591450137219705,0.3429068666296184,0.5208557247735758,0.454453641526576,0.009553946407691957,0.29037956702291895,0.2705136079777734,0.32130772060577173,0.4389386606058706,0.41978906676022965,0.25208197228830476,0.13106166438941755
SW,0.0071265754372736535,0.36924061227386756,0.004919220474502674,0.016063218525939168,0.023305772893514036,0.2534807773516202,0.03208287906072382,0.4191245487820636,0.004230570449997073,0.0028286482324504304,0.009992467233575142,0.02530435684259072,0.09912762104280623,0.02614575626625853,0.13935003454517333,0.06007216355357598,0.017705658400588922,0.0034157777818897487,0.010913312401425082,0.018438938194291706,1.0,0.015206679124961656,0.010956059067142096,0.012522930652347462,0.03698985392919046,0.006004900178900283,0.047579242304250154,0.012745917098800635,0.030320404416571328,0.01617311760919245,0.00821277036998084,0.23693735502495494,0.010297677998114724,0.0210958411080974,0.015029083676687899,0.03032040437028935,0.008268112675576497,0.033073719142388,0.18268541758730952,0.02465970248552052,0.007088979746457844,0.018167898453916986,0.028226708934270817,0.009515442294882753,0.029063180736060255,0.03032040432182097,0.01973638023497405,0.0021618708542992067,0.016604173840799274,0.02069406149238482
CFG,0.0371406973752731,0.004269827375239315,0.05078235658439037,0.11848383880863765,0.058676709682057404,0.007696542675743675,0.19123951210318732,0.00759377328162795,0.11092276370897894,0.04477222738719808,0.24122310382643417,0.12214922335902563,0.06181873276237604,0.10454186341583716,0.07875473703061542,0.08492764382960681,0.18133678697296968,0.05102992540576671,0.14469788742360004,0.14125427844947677,0.015206679124961656,1.0,0.06899647574075263,0.05378513171559138,0.06105259958015749,0.09964851792010884,0.05616734384445381,0.09266590145449571,0.059528452179724155,0.06657383802879438,0.0752651052459626,0.04369791301065539,0.07837086605231215,0.07092625298627252,0.1392684902121062,0.15226461608972325,0.11958513901422685,0.0754910801879407,0.010034690342759205,0.0946200212647994,0.04777222935633308,0.14130878008532072,0.06953765149491659,0.09176978969433866,0.08802581257286632,0.05999577903066509,0.053468393045958074,0.04217420707474559,0.10800400228507116,0.11553484301894298
RTX,0.37456608629873467,0.009814569185663934,0.6249235019656056,0.33785474738788823,0.6405288251424284,0.001122442680657704,0.04361328850298544,0.0015438685056066348,0.42920048826675444,0.40215583097912944,0.2532180253173852,0.13462018752313093,0.11761464826685708,0.18181450391536763,0.02453077707244822,0.10663726446627601,0.2949498791224671,0.6204878330922107,0.011799553909503551,0.42980798470475806,0.010956059067142096,0.06899647574075263,1.0,0.5236122222145269,0.19484377909371306,0.250932015844587,0.022451343900835617,0.33747272231353226,0.0030515804520560557,0.6240280002959879,0.25511645624468915,0.012821352396441638,0.3421863188215297,0.5870514595498196,0.16036099982435822,0.034218284508392434,0.07175049490499488,0.3552594159113847,0.006395049539930957,0.28376532473753335,0.6301395723166666,0.5384327544020899,0.004176010435679591,0.2843311268476404,0.25927071870319746,0.5322505140783245,0.5209135798332764,0.27167397962068185,0.3318717635053397,0.07948095711356935
REG,0.26333966665779157,0.006957389246256732,0.5433813991790737,0.20527200793124323,0.5646858455207265,0.0018054953598880227,0.0633068809341198,0.0021295054476437466,0.2179462120589629,0.41402804966025586,0.1953771428965834,0.07374918046034115,0.19429360711865212,0.1906870856092229,0.027855658310334874,0.06389479748306726,0.3032432680753302,0.6453720081224987,0.006639992348812267,0.5308415977832204,0.012522930652347462,0.05378513171559138,0.5236122222145269,1.0,0.17433263934708126,0.1533520565789183,0.011916139909286739,0.2880579513716587,0.0022923215538551587,0.49637908177028156,0.1708733127614767,0.004512917823935305,0.19473494111533138,0.47983885347390554,0.10760357046295849,0.037823220987177025,0.04690757624612836,0.1804735325310359,0.00778034280376142,0.31178054294778307,0.6570634083283423,0.4186957526050233,0.00279410804836242,0.13961275892597977,0.334820288548299,0.41205426047356614,0.34852875913833165,0.30081945905664387,0.19650023344057177,0.03426370125974615
TYL,0.18149742355130277,0.013330210713245617,0.13455002914782818,0.24065781869967157,0.21724194358139415,0.005473947765343967,0.13915718729818646,0.007791537780342133,0.22215954627315176,0.2043504416603326,0.2185878678518219,0.1627469710659514,0.19622619849212763,0.3260894972185877,0.04623548247901854,0.23758772861221933,0.19493718857592687,0.19506938756049166,0.02485772749425091,0.2203448397643747,0.03698985392919046,0.06105259958015749,0.19484377909371306,0.17433263934708126,1.0,0.3063867151246383,0.02227181107050931,0.3336835647971139,0.013936464735438754,0.26741750584117324,0.17111482519442622,0.04934719091979817,0.23406957820958496,0.15157412524584563,0.09470445076047708,0.10383747443359295,0.21064321088953064,0.2159593977055549,0.03234627573522795,0.19935785802628836,0.1420537727548311,0.2100719509315357,0.02154468516341254,0.2815533985817332,0.22943978338479065,0.21353213433368334,0.24319908840317228,0.2773594337781428,0.2394400606975989,0.13559161512991563
NOW,0.3569646125530625,0.0026575324006367584,0.19251790599413066,0.24065781868081929,0.2515966242499315,0.00042675300172777833,0.025366985598416738,0.0004588068462231472,0.28350679759561853,0.33532326325462986,0.21528349768410107,0.22200682564840388,0.07411428612861704,0.23241870879613744,0.01588669981681547,0.22108873351489197,0.18025285187043105,0.19386264510681403,0.009157611675928228,0.27282015311151964,0.006004900178900283,0.09964851792010884,0.250932015844587,0.1533520565789183,0.3063867151246383,1.0,0.01012554329616287,0.30300939262845195,0.004450581141983442,0.27612252446771596,0.3052746142205631,0.024711216195936678,0.40192715190571116,0.17875605428896196,0.0746579640563911,0.0312135395186904,0.11087345630653855,0.3119295648843508,0.0037284393452786777,0.14738685024281958,0.155838460354893,0.2643309150392916,0.004428654767569158,0.2592649281179908,0.1579331701023258,0.2548877495596328,0.25257841617215027,0.44335248037408725,0.4125452639293466,0.1784403782550715
FICO,0.012311799437623696,0.07734170499221446,0.019229515356362303,0.013602973444210995,0.03054460069815701,0.03643517047118954,0.02936343934275513,0.026304783000099495,0.016623664465970904,0.006601814514106221,0.04653639399251657,0.016013552570600144,0.03779239500420649,0.01672795695575475,0.009819399310892705,0.11376693907448084,0.022244147156289768,0.01784858502528003,0.01604269917798429,0.043678955179158215,0.047579242304250154,0.05616734384445381,0.022451343900835617,0.011916139909286739,0.02227181107050931,0.01012554329616287,1.0,0.02861937439328312,0.03060133754375311,0.02932460251399651,0.012944306900592518,0.043714043622605385,0.012983883399878104,0.03588009616541696,0.0371610792853584,0.03679022134065349,0.011138904916121403,0.04201829196278266,0.042119368401217244,0.021727427678149953,0.015754954098384105,0.05118496778119428,0.029197865271807826,0.016820640486080778,0.04598976708965283,0.023605925428336987,0.02201402537591335,0.004420891543314947,0.03917397723175883,0.016903781407587852
FRT,0.286001067350489,0.006297103168025876,0.3407386636100951,0.2708174554110352,0.32250096872022277,0.0014903696413846575,0.06363845977699414,0.0017754942933684208,0.31990338567375715,0.37846599217402227,0.27076267073829896,0.22097163999603017,0.12872505774151743,0.18249249593836436,0.02523314649708561,0.21936914490333626,0.33580614972564604,0.3973154281492829,0.018571732201245895,0.37454144321222393,0.012745917098800635,0.09266590145449571,0.33747272231353226,0.2880579513716587,0.3336835647971139,0.30300939262845195,0.02861937439328312,1.0,0.0055274520950621886,0.42997264845756966,0.35837190523989443,0.039070507870387815,0.2698749326765523,0.3334341648872924,0.08308146226241866,0.06942951280119604,0.10677389163774012,0.2591587660530264,0.009077017247276995,0.28888891543931056,0.3291501734250998,0.40816648364946895,0.007413900321295654,0.3603763248458931,0.27050022736304424,0.2889357011818144,0.4322718650999614,0.3707991400812679,0.3227818063012364,0.13078281672488198
