,ISRG,AMZN,ARE,IPG,DHR,HOLX,NTAP,HUM,XOM,CCI,WY,TECH,CBRE,STX,MHK,MCK,C,CMI,ETR,A,SW,CFG,RTX,REG,TYL,NOW,FICO,FRT,AKAM,ADP,URI,WMB,CAT,JNJ,MPC,TPR,BF-B,CMCSA,ROL,CDNS,OXY,WRB,HSY,FIS,GLW,CAH,EOG,CCL,DLR,DTE
WY,1.728848115858652,1.1614464053230127,1.9375875836753886,0.8170314376687489,2.262779364312644,0.9155004960226409,0.7703281479615569,0.95637784738134,1.269550473393659,1.2535677495711115,0.0,1.0604948787027346,0.9600260654265096,0.890801932693216,1.0629499004988647,0.9401652183625973,1.0720617473042906,1.5787988353006348,0.9734446643151777,1.2324501673456767,1.0224872146297035,0.7640257899015115,1.5336174587391835,1.4230480347325425,0.8819937782788184,1.0227973104983783,0.995689715913264,1.0016961358624354,0.9244126357381791,1.3984338542250232,1.2698258377965597,0.9236311717853501,0.9848993294038705,2.716470607007209,1.4055882004385893,0.9524713092035274,0.9279926893087941,1.4424314481549272,1.0740422716267513,0.9327774515477103,1.7802240276680315,1.8027767999364912,0.822951631340742,1.1645637188701685,0.7550996549373173,1.08838563647448,1.1518269841575932,1.1267170163249771,1.1105314029886,1.1967601816361357
TECH,1.3508251722459756,1.055229598074172,2.119177232676121,0.7872423330861807,2.3627754886921157,0.9647939695647954,0.878576122739579,0.888248380214925,1.1670796616361105,1.0554707904723908,1.0604948787027346,0.0,1.1177585684760896,0.871428682089203,0.8097678264138135,0.6575819050720119,0.9920015485003535,1.8846935666365228,0.846270301520748,1.2788356180588338,0.807347581318249,0.8210123508651483,1.6376411928743004,1.5891132668082686,0.8517166508032923,0.8947972794855577,1.0215499435451814,0.9516008525075028,0.7832463695815048,1.52805187074688,0.9865620317127041,0.7062434201991409,0.8453859953969342,2.885291808101289,1.2006696442434166,0.847536281427905,0.687521691470141,1.3268331022376796,0.9989810559028964,0.8865507158200654,1.9120812416858413,1.699040889822293,0.7823377106260221,0.9080104933404329,1.0245378228754751,1.21106098299905,1.3114010166123022,1.0113694859860474,1.0966956411813915,0.6905360838394238
CBRE,1.7735252836312354,0.7695393173028505,1.8793920712712153,0.9944784752831957,2.008470586409756,0.7350256589879425,0.6839655927161485,0.6443267218775997,1.5509123903799562,1.2982228475212265,0.9600260654265096,1.1177585684760896,0.0,0.8565349066215573,0.8691265330402645,0.9859623007768326,1.1165601446661015,1.6060181386253976,0.9875013006326714,1.170930077010535,0.6557317204504317,0.9677132503890701,1.7331560204712566,1.2904820930710126,0.8263213547345475,1.2052643533769085,0.9314787207311143,1.1359476524315333,0.883155334740748,1.3828916362674133,1.3784051119273895,0.8145653230150454,1.2242522998792684,2.4795236933070055,1.382686471225011,0.9001129812603059,0.9958481654500979,1.646854606922118,0.8064459012455016,0.9851758156130912,1.606659656112278,1.7403529623851968,0.8394055557928387,1.283352083373785,0.7849185357237887,1.0862510541732147,1.176574104948386,1.2046958795626268,1.3286535410419607,1.1979136668411687
STX,1.3606774122362795,1.0371898406578197,1.947206771122506,0.7507427326072591,2.0702920085225753,0.8869987423635,0.7555205996478851,0.8450432556093737,1.1615794989022528,0.9839795261841904,0.890801932693216,0.871428682089203,0.8565349066215573,0.0,0.8064938746023039,0.7768243410628468,0.9595635714655356,1.581702884196695,0.9323731537068765,1.2364564993248313,0.7931118674748462,0.8396009953110812,1.4899660546598625,1.250169171329519,0.6602774718457367,0.8694079231038226,1.002696228080298,0.9967332140024154,0.8636801134939514,1.3020301602973385,1.0374673174469675,0.7538536559892544,0.9152488028608413,2.678123646874862,1.234660792677812,0.8023922886778503,0.7594302331294214,1.4147311063213395,0.9896441312909645,0.86077980186281,1.638518095421982,1.6529243241584992,0.8087893161831867,0.9898533252214593,0.7418788292981134,0.9751879512664035,1.2422451345953218,0.9163406502181046,1.1626852853897327,0.9804558899273692
MHK,1.8164690819474358,0.7167047428048957,2.159237600501466,0.9012830145623204,2.329478804333788,0.6108417521775152,0.6719223454942111,0.5355512670313844,1.396323890217564,1.3732537806248628,1.0629499004988647,0.8097678264138135,0.8691265330402645,0.8064938746023039,0.0,0.8439398242790277,0.9306899931120078,1.9719938923325226,0.5879275241814346,1.3690924522066996,0.47097512743136316,0.7192370078477042,1.7743636392181474,1.4839387058293008,0.8830719463342187,1.1828306485535087,0.8607790508429894,1.1837505987332149,0.6272808760075641,1.5370017047324218,1.1567677416421278,0.5333206546666138,1.1550402840290568,2.7924283007141497,0.9571557932045673,0.6654643000123357,0.726696811321595,1.4863049380255493,0.6953730083783152,0.9789091032216218,1.9081344582572544,1.7110760345489417,0.5809804802339095,1.1337711025236876,0.9460907656359546,1.2839457527774898,1.3076434555658123,1.3313191884175826,1.3143216013263874,0.8316846897688894
MCK,1.3050198557492807,0.8620994343495859,1.9411786390005323,0.8112981191917165,2.1259950535041447,0.8268050744221414,0.8426807216689762,0.788006884686402,1.1096906590989257,1.0932895317886344,0.9401652183625973,0.6575819050720119,0.9859623007768326,0.7768243410628468,0.8439398242790277,0.0,1.0113155361744233,1.8098885952043702,0.8852957852315295,1.2234206023671517,0.6802074185915393,0.8565720134880361,1.666791963001037,1.5724440598208778,0.7300324453618677,0.8632021484286869,0.7135731434667152,0.9189459624321432,0.7811299693505016,1.3931589650132405,0.9255694972025966,0.5633366456116482,0.9552424805673653,2.5943234002912563,1.2839989360882715,0.9007396335372686,0.6812468736530977,1.161052819997674,0.8681072023471323,0.9563642086445171,1.8526428132093282,1.5943645824947514,0.7584015739364692,0.9540393013009738,0.900344855354194,1.117958345420591,1.1642855397171,1.0206629028790761,1.1283030413908275,0.8664568862626479
C,1.7470647356335696,1.3197936007665048,1.8663988380440673,0.808139038076383,2.304778945122197,1.155754828541806,0.9224653715274267,1.118949737675064,1.2231138349318482,1.1044284971982172,1.0720617473042906,0.9920015485003535,1.1165601446661015,0.9595635714655356,0.9306899931120078,1.0113155361744233,0.0,1.487430484513745,0.9863846101567961,1.3661198680457316,1.0307494676140154,0.9018064230977969,1.557555492632916,1.310396688259386,0.9852003000198514,1.1637069326908178,1.1946448207874578,0.9861164443545097,1.063307760414209,1.504284013735944,0.9882061683241172,0.9458577069385237,1.0105580076254999,2.596662831094345,1.3974636546848995,0.8724402853383508,0.9632766221645188,1.5440546797879557,1.2146917776698647,1.203136086288541,1.5930201904327332,1.609778211119803,1.0393511237002564,1.1643810065596225,1.073639701583949,1.0033125945145058,1.2856007398795728,1.2692071661744415,1.388221020456011,1.088141441854536
CMI,2.3076562640843012,2.112946133532089,1.4686087608482747,1.4918523278743487,2.147744960700954,1.9276605553426491,1.7140797471472036,1.8999490574507856,1.693153951685342,1.535737122499732,1.5787988353006348,1.8846935666365228,1.6060181386253976,1.581702884196695,1.9719938923325226,1.8098885952043702,1.487430484513745,0.0,2.0584829400509985,1.5493052787687827,1.8718618681649242,1.8219928275144397,1.4903889515302244,1.215000456123619,1.507533063949508,1.7428071910954834,1.8805418957668958,1.3880683227383854,1.9563107047880932,1.3845496062564593,1.8142242130189803,1.8525640856495316,1.7325835105629435,2.317419494531105,2.334846155449988,1.8105328749558982,1.8371864226597023,2.1942594669576243,2.011264658175069,1.6642998696029223,1.3666595120952563,1.9852266663089908,1.9180510394223427,1.9239873323635202,1.512369558617604,1.3917007979876783,1.4004530025668855,1.5633788164435578,1.9218001189398661,2.168590085402339
ETR,1.8521444853509903,0.7874142579308167,2.3148378009519557,1.0267714698771706,2.599301455430362,0.6659035189235385,0.6519501037084234,0.6184436997865992,1.502868796658598,1.4949271705266622,0.9734446643151777,0.846270301520748,0.9875013006326714,0.9323731537068765,0.5879275241814346,0.8852957852315295,0.9863846101567961,2.0584829400509985,0.0,1.445705909059777,0.7145777591215405,0.6285921895296522,1.9456572791161701,1.759777819201927,0.9701378919294188,1.2616627460217829,0.8155012149175681,1.234644481600069,0.42592244466591617,1.7600122932031657,1.2546422735108451,0.5604582944748636,1.2872659551460872,3.0675800220008904,0.9982322474185281,0.6102306642185662,0.7253287909916956,1.6326432533635094,0.6934656039618645,1.1014495245644467,2.088549916619726,1.8304404774121614,0.4935386341673947,1.1958142968596857,1.09942510429274,1.5016038876728797,1.5683458293158064,1.442611565090279,1.4181325562030636,0.7587639970744869
A,1.6128810338123605,1.5520791143747767,1.7079714644686594,1.2241050021448618,1.905081585498086,1.441531953570458,1.286758660837915,1.372926421254224,1.504838082849242,1.2431822053961266,1.2324501673456767,1.2788356180588338,1.170930077010535,1.2364564993248313,1.3690924522066996,1.2234206023671517,1.3661198680457316,1.5493052787687827,1.445705909059777,0.0,1.2738351695190084,1.1992737628302808,1.6088986530413691,1.1857689231834418,1.176975694278928,1.2585356829067949,1.345898669699844,1.1619699102430872,1.3509486303537253,1.2868066480152038,1.3870223966280055,1.2085245967722464,1.4235621688963007,2.397195907688472,1.904759311691087,1.3582966208051268,1.3388058919514982,1.794855006484017,1.3933753497451935,1.1501632358640692,1.4164904599721875,1.7096194232881625,1.3608558093838827,1.3119248891953337,1.1918714344914383,1.317060228524694,1.1950525164513768,1.1067737410242946,1.575053823183409,1.4130557730377946
