window,date_start_in,date_end_in,date_start_oos,date_end_oos,n_clusters,n_assets_total,s1_n_assets,s1_sharpe,s1_te,s1_return,s1_vol,s1_turnover,s1_hhi,s1_ceq,s1_corr,gmv_n_assets,gmv_sharpe,gmv_te,gmv_return,gmv_vol,gmv_turnover,gmv_hhi,gmv_ceq,gmv_corr,mv_n_assets,mv_sharpe,mv_te,mv_return,mv_vol,mv_turnover,mv_hhi,mv_ceq,mv_corr
18,2016-07-05,2016-12-30,2017-01-03,2017-02-01,11,50,11,2.789353878816765,0.07770160383697254,0.022326331666342458,0.1015526202664614,0.0,0.09464922643150903,0.272953260561276,0.6452260717914738,10,-1.893609697514034,0.05611942015683762,-0.010010689079362423,0.06584111468456628,0.0,0.1509824420337382,-0.12901242564473459,0.6122720959022041,1,2.000902272151895,0.15098470458067656,0.02835800710431502,0.18427316059143986,0.0,1.0,0.3347559880096645,0.6604512329732086
21,2016-10-03,2017-04-03,2017-04-04,2017-05-03,11,50,13,8.22119327915593,0.05405343236951841,0.04374006232426786,0.06593322384892786,0.0,0.08670846512321609,0.5377025867727764,0.7050294814643713,8,0.6980964940694624,0.053794390175955546,0.004834559114732739,0.09294299579036279,0.0,0.19397181114072393,0.056244779043077675,0.8158276072663039,2,0.9927205550442424,0.14002871693299765,0.013365733402633584,0.1848989834635271,0.0,0.6254125102773131,0.14936538740518315,0.7346881386632246
22,2016-11-01,2017-05-03,2017-05-04,2017-06-02,9,50,10,0.7875945137895666,0.07097292255323008,0.006267655475558964,0.10685945465033639,1.975259943109986e-08,0.10000000027921575,0.07274297718098262,0.7488122416631207,8,7.014959474414344,0.05154276627346833,0.04057375287489373,0.07185771807680698,0.0,0.19443443143684105,0.49891544858548614,0.7948698872634478,1,2.92035507070977,0.07905411410039395,0.02536813738789001,0.11012613376523885,0.0,1.0,0.3094796478208984,0.6995761623199044
23,2016-12-01,2017-06-02,2017-06-05,2017-07-03,9,50,12,2.9233807476228857,0.03884428396657608,0.013887967851928806,0.06005329515220078,0.0,0.08958226016622772,0.1719522486206212,0.8419772742461098,8,-1.4420322687581533,0.05503487155238673,-0.008957218735614947,0.07666126347275615,0.1925466169218778,0.32517881835827095,-0.11642496500872443,0.7275720063835228,1,-0.7093120482887637,0.24565453720158914,-0.018937872418563817,0.28495136631393087,9.95367040446602e-24,1.0,-0.28331671846699213,0.6345388541157759
24,2017-01-03,2017-07-03,2017-07-05,2017-08-02,10,50,10,-1.599350165766696,0.06819167972751844,-0.010435907535404798,0.0806934313059306,0.0,0.10000000027920225,-0.13556848259134852,0.5523271012610588,9,0.7348562907857075,0.10202418203808271,0.006077689875806369,0.1120903889048862,0.0,0.1879896612839404,0.06980607213852345,0.42114006327032344,1,-1.73334242727996,0.1438346100528539,-0.02143029680847852,0.15105579421439708,0.0,1.0,-0.28464926996402745,0.31096990842660394
25,2017-02-02,2017-08-02,2017-08-03,2017-08-31,10,50,12,-3.2291035740063045,0.0457586745077643,-0.026905488285524082,0.10473141450329923,1.0809346473461545e-08,0.09260020455926068,-0.3491572540672011,0.9011227246326259,9,1.7411256279988765,0.060211481612004326,0.012511842166870846,0.0923375094656736,0.0,0.20121905772941587,0.15224498850194979,0.8069534746682657,1,4.190274469828057,0.08971266081106563,0.042140871388473666,0.12604126758323259,0.0,1.0,0.5122611045647982,0.7076542512517798
26,2017-03-06,2017-08-31,2017-09-01,2017-10-02,12,50,10,9.588102982002587,0.06190184852300153,0.06134267180285935,0.07865883830666959,0.08218392156241798,0.10000000027920584,0.7480018292852832,0.6222771412848978,9,-1.5898797019519877,0.07392572565293608,-0.00850461830756577,0.06635546373291107,0.0,0.346582282666152,-0.10990025246977625,0.27210377623343746,1,0.3147800394277502,0.12466118002645234,0.0025015509834596106,0.1229804334530266,0.0,1.0,0.02358759867889122,0.1942825185508321
27,2017-04-04,2017-10-02,2017-10-03,2017-10-31,8,50,11,4.844818255445563,0.06796784294797534,0.036337267258341965,0.09376887271697026,5.7659161140088955e-08,0.09866864986612896,0.44550054484111756,0.7079507105710748,8,5.647094047823923,0.08548646742771164,0.0402026879955113,0.08868979823332146,0.15825362096630666,0.2239594926570656,0.492973751395427,0.3496041588359692,1,3.619342569640541,0.11913927381642707,0.030981993196899538,0.10782266869370767,2.2881705939040944e-22,1.0,0.37862144689115157,0.0038108988672957795
28,2017-05-04,2017-10-31,2017-11-01,2017-11-30,9,50,10,6.363772804529371,0.08434664959341676,0.05608561277793234,0.10907417369430934,4.1265999298212286e-08,0.10000000027920505,0.6822260848652624,0.6345633638438279,8,6.500892280007732,0.08044253038591634,0.050743516388873866,0.09673835990069724,0.0,0.19752727086598365,0.6195273467827753,0.5679725992283259,1,-1.518837865413981,0.3748361452031566,-0.05218749452997218,0.39375923722915795,0.0,1.0,-0.7531027762634599,0.36240410367006226
30,2017-07-05,2018-01-02,2018-01-03,2018-02-01,10,50,12,-1.5697386883285014,0.1104083430255876,-0.014516650711800416,0.11343356422188626,0.0,0.09404306668889059,-0.19092822780617136,0.4170134319394338,10,3.83966842119901,0.04900205096304613,0.03056439948701839,0.10011092275798056,0.0,0.23871218486571735,0.37437055187545687,0.8720298551210833,1,-3.779412170599416,0.21269244256539918,-0.08199603183923732,0.27507377222678153,0.0,1.0,-1.1152827427336611,0.7949325244304313
32,2017-09-01,2018-03-05,2018-03-06,2018-04-04,10,50,11,-2.6287789968505324,0.08599940062405025,-0.042054410427222244,0.1985501805963673,0.05930701210530647,0.09417089999090733,-0.5613667187874606,0.9188544644886317,9,-3.9606620247556754,0.12117508343077533,-0.04572094130649451,0.1461381692441663,0.0,0.22664302222098287,-0.600160261802724,0.8503092257908632,1,2.4364548203691037,0.19943056335835674,0.05906338635584718,0.3167186088468144,0.0,1.0,0.6713599040355562,0.7825950982406391
33,2017-10-03,2018-04-04,2018-04-05,2018-05-03,9,50,11,0.056064924628970815,0.062489326224152764,-0.0003318800358058649,0.16993450734008603,0.03520582058642782,0.0946402187841511,-0.019350371439034543,0.9340187629596451,7,0.9979505376428344,0.09936539007967067,0.008655674979421768,0.11513103202840701,0.0,0.3613147199040165,0.10163992077619707,0.7269781157591134,1,-0.525599898563197,0.14906049137237043,-0.011619919167890624,0.2313800523879211,0.0,1.0,-0.17515006070767564,0.7812644572727547
34,2017-11-01,2018-05-03,2018-05-04,2018-06-04,9,50,11,5.885036109829556,0.04458925511132216,0.04850123037008114,0.10236601195162032,0.003609906822300349,0.09324734241417645,0.5919488763516502,0.9038363695730549,8,2.4632739328914446,0.06679967591016588,0.01871752557846529,0.09670410982870838,0.0,0.17244876373489293,0.2288570280867658,0.7721748480554164,2,5.592113920035275,0.20392109930464974,0.09866348144114623,0.2164611332921418,0.0,0.9049149555404246,1.163619894403479,0.35371954765256275
35,2017-12-01,2018-06-04,2018-06-05,2018-07-03,9,50,12,-2.3281003439402244,0.052449715733137316,-0.017253451619769766,0.09240976266488678,0.0,0.09155250455860073,-0.22367876447933813,0.8238730622030312,7,6.466153919715738,0.11805787148617004,0.0440401864095743,0.08459712603593468,0.0,0.3368936179325929,0.5398613643804056,-0.04134392498860155,1,-0.9203748903174014,0.44441512544052936,-0.04428871650506827,0.49154662390330595,0.0,1.0,-0.6940252535316322,0.6488308206595896
36,2018-01-03,2018-07-03,2018-07-05,2018-08-02,11,50,14,6.465941487146513,0.06846117965130112,0.05565977709948422,0.10652606448836424,0.0,0.08217265127500645,0.6774434974223801,0.766248067540606,6,3.1497813378310604,0.14306680412970652,0.036689331407657066,0.14754551963828613,0.011376605982387555,0.33206337880201636,0.442966443871928,0.3343558182166956,1,2.7252738808608394,0.3170584948504518,0.07386880847015465,0.3519899290532404,0.0,1.0,0.8353720498199507,0.517946413457224
37,2018-02-02,2018-08-02,2018-08-03,2018-08-31,10,50,15,2.311993343213718,0.05646613322744871,0.019280545312193587,0.10645663568129583,0.010214047787821062,0.07792611317503298,0.23479401775550382,0.870131700886929,9,5.948245939032104,0.056060460888537826,0.030293071395162796,0.06358508632924566,0.0,0.23236299165616375,0.3741766683374436,0.6628819420740706,1,6.286659334060059,0.18513784265145813,0.116882579720466,0.22599612879936073,0.0,1.0,1.3696864223456433,0.6767112659999005
38,2018-03-06,2018-08-31,2018-09-04,2018-10-02,9,50,12,-0.8654164913802511,0.05827652045731275,-0.004868052837398107,0.06846670796828658,0.0,0.08933065203488844,-0.06393990828628549,0.5738961981309059,7,0.7171850974912003,0.049995363944456125,0.0030292172134089856,0.05515670878510848,0.0,0.21442861322681725,0.036515307043336505,0.5893670232515897,3,1.1054353188582229,0.09228167011281678,0.007362150214661911,0.08685377628597275,0.0,0.4394125575884352,0.08846765342759125,0.21621525934712782
39,2018-04-05,2018-10-02,2018-10-03,2018-10-31,10,50,12,-5.306932127116811,0.10553529995724928,-0.0982187596166132,0.23966344560086164,0.0,0.09083205099831956,-1.329316206312002,0.9015524293974023,10,-2.903969444362087,0.14278788470572268,-0.04541328376009268,0.19518601303895403,0.0,0.17023756698466969,-0.6049117975180252,0.7962361870734389,1,-5.533658495316487,0.44178414607699196,-0.218370002379495,0.5328708994589436,0.0,1.0,-3.232676975188105,0.5745883938770853
41,2018-06-05,2018-11-30,2018-12-03,2019-01-03,12,50,10,-5.0269516173374065,0.07716032536670729,-0.10817858451588203,0.2788568626619688,9.378785706393167e-09,0.10000000027920483,-1.479561106617895,0.9645553900268246,8,-5.614627630867477,0.11112452501786436,-0.12474397990334218,0.2908844160246042,0.0,0.171456553484301,-1.7178214230864681,0.9273650107647202,1,-4.024376338245041,0.29359665187852835,-0.136418768320268,0.43469990408237363,0.0,1.0,-1.9383600148357183,0.7406216910722556
43,2018-08-03,2019-02-04,2019-02-05,2019-03-06,11,50,11,5.434669171704529,0.07078480847856675,0.042235863828508746,0.09682742790897886,8.980104729272576e-09,0.09307104447684592,0.5168494866369017,0.7028274236025149,9,-1.7017969263925605,0.08824729505760158,-0.020814426281764775,0.14940827330112189,0.0,0.1979949934926318,-0.27658537241229164,0.8588982256342285,1,1.2853334857692769,0.22263014361080777,0.02420148874416017,0.25941672653076603,0.0,1.0,0.26613996737470647,0.5677240467481014
44,2018-09-04,2019-03-06,2019-03-07,2019-04-04,9,50,14,5.738290443815491,0.046743306349075,0.05137553583048726,0.11116563922220941,0.011154973479690659,0.08659076286431294,0.6255429258857624,0.9146369959424948,6,1.1569504053667068,0.10042918370944699,0.0075104728521404596,0.08442556345469512,0.0,0.3522040831162266,0.0905485140975794,0.5253040387443355,3,1.4785668904527702,0.10308260225773663,0.012297654786236345,0.10792947368020825,0.0,0.5676548917056781,0.14793217499866285,0.5719421124802675
45,2018-10-03,2019-04-04,2019-04-05,2019-05-06,9,50,14,2.9479578866210994,0.07345985423609794,0.02457293640084357,0.10561131862566427,0.10527147265280484,0.08680403311170878,0.3001839690371292,0.7208097062357844,7,7.679797859531935,0.10563835525451877,0.08262314051210984,0.13155931048958844,0.0,0.21422791748337744,0.9930410589229427,0.5998744785281573,2,2.448608951935668,0.16137985595776877,0.03357771132453724,0.1761097084561062,0.0,0.5755752363258416,0.4002091792359076,0.40036681808289026
46,2018-11-01,2019-05-06,2019-05-07,2019-06-05,10,50,11,-1.1070468908594044,0.06938187889207208,-0.018101659551591598,0.19201109938925467,0.0,0.09270674440486301,-0.24943355287804073,0.9354044020736273,6,1.8940647097961414,0.0698976829809259,0.022972079486290875,0.1573712242001921,0.0,0.2528283669631073,0.2733055798887332,0.9073042721220214,2,2.6700864821187884,0.15113061535220254,0.050295560885815105,0.24233105337375546,0.0,0.7464372619633934,0.5883205303816371,0.7889668214578007
47,2018-12-03,2019-06-05,2019-06-06,2019-07-05,11,50,13,8.30541803484922,0.05142715355610772,0.05233378509781228,0.07783129418382033,0.018994602929515964,0.08014907954377612,0.6403637240356282,0.7943652163456785,6,3.0889853655796733,0.08716570534622974,0.0238474883420563,0.097656572147539,0.0,0.2027685013276344,0.29212291613281605,0.5411370986025613,2,2.831618704555852,0.14751702353847085,0.03939513203152312,0.17737419484950293,0.0,0.6378668043100197,0.47079448284287734,0.5645367879168663
48,2019-01-04,2019-07-05,2019-07-08,2019-08-05,9,50,11,-3.8777914951796477,0.07107414164947701,-0.041218039110101135,0.1344002768853541,0.0,0.09411773160595222,-0.5392396850826758,0.8604292287161829,8,-3.7867739350228478,0.08573353548520832,-0.033301814863410883,0.11104321682567728,0.0,0.23988132420147823,-0.4328261551395596,0.7728275585949649,1,-3.032091876158027,0.1454060618544841,-0.03613509368264267,0.14930128015845837,0.0,1.0,-0.4749860709254097,0.4794723608532408
49,2019-02-05,2019-08-05,2019-08-06,2019-09-04,11,50,12,-0.41687068261807747,0.07249061951992543,-0.010238724856124426,0.24323232322915983,0.020789164365717455,0.09481674668402218,-0.1605583876827752,0.9591928609759484,7,2.6946414939232444,0.061509564606344075,0.041233682843631936,0.19594378485778766,0.0,0.16473351215804738,0.4896042863297687,0.9566459912131496,1,3.043144141524224,0.11780669120903633,0.052983589483543536,0.2217212462325658,0.0,1.0,0.6255694004931605,0.85262148348732
50,2019-03-07,2019-09-04,2019-09-05,2019-10-03,9,50,10,-0.3229161362080428,0.06687186042506112,-0.0039324826336539775,0.12911468799987064,0.035740247235746564,0.10000093494544693,-0.05836381883392912,0.8596307763525881,7,-1.685859877188701,0.09650080649720585,-0.014195466150538016,0.10377654508059912,0.0,0.2748628619493891,-0.18572228485351217,0.5521172556779529,1,-1.7970634985144636,0.22124362019317237,-0.030068451515712136,0.20303178935238983,0.0,1.0,-0.4060829251708905,0.056092928079917205
52,2019-05-07,2019-11-01,2019-11-04,2019-12-03,9,50,11,3.2031376898887363,0.07492679051777686,0.026119915944659455,0.10306430127767804,0.016295343334759793,0.09267313555902168,0.31950689770672236,0.6892055792887609,7,0.061076227508147986,0.10838916645039634,0.00010639685891233874,0.10089608581517172,0.0,0.21480893203482732,-0.004017667840893445,0.20199658283643404,1,0.8813949911927815,0.1958918542187245,0.012964286271356151,0.2071883623026612,0.0,1.0,0.1396877672933421,0.3259323673121675
53,2019-06-06,2019-12-03,2019-12-04,2020-01-03,9,50,10,7.408295926510047,0.058431781011997266,0.05260309353578929,0.0877973116546634,0.0,0.10000000027919875,0.6427200983559899,0.7502367347757354,7,8.06371810931112,0.061895424560158056,0.0471493957306397,0.07238014288212079,0.0,0.20595158183276102,0.5784141838294475,0.6352085866128961,1,0.08500488293871931,0.21496102310739124,-3.3306690738754696e-16,0.17872697297793627,0.0,1.0,-0.016750665453874842,-0.34712904337360745
54,2019-07-08,2020-01-03,2020-01-06,2020-02-04,9,50,15,1.297466979308109,0.04357294117052894,0.012245038795773544,0.12387136817693299,0.019469825902648535,0.0812410723611243,0.1453748940372626,0.9428366262160065,5,1.9740195013175903,0.11485702135320519,0.019237167398465704,0.12548313675180117,0.0,0.39239449284221606,0.2319601414254863,0.5987706882575858,2,0.9847681881698342,0.17864883318759656,0.018840388147678633,0.2758433881955495,0.0,0.6986030150185806,0.1955522188007589,0.8494371134483678
55,2019-08-06,2020-02-04,2020-02-05,2020-03-05,11,50,10,-4.341987574055823,0.09278476315543324,-0.11297197310715934,0.33460241296136467,0.0,0.10000000027920566,-1.564798294086908,0.965591885653086,9,-0.8948958654820117,0.14784910283043193,-0.028588370402073737,0.3450976823713188,0.0,0.2619711166833323,-0.4279188995195734,0.9112821600319098,2,-5.318855199915895,0.18431084858708566,-0.14270230806551043,0.35210475823027104,0.0,0.5057743184382391,-1.9967719849966037,0.8642670953568805
