#,Company,Symbol,Weight,Price,Chg,% Chg
311,Ameren,AEE,0.04%,101.81,-1.19,(-1.16%)
312,Atmos Energy,ATO,0.04%,170.08,-1.65,(-0.96%)
313,Brown & Brown,BRO,0.04%,80.3,-0.88,(-1.08%)
314,DTE Energy,DTE,0.04%,131.65,-1.62,(-1.22%)
315,"EMCOR Group, Inc.",EME,0.04%,607.97,0.19,(0.03%)
316,Broadridge Financial Solutions,BR,0.04%,227.58,1.03,(0.45%)
317,Cboe Global Markets,CBOE,0.04%,253.53,-1.75,(-0.69%)
318,FirstEnergy,FE,0.04%,45.75,-0.68,(-1.47%)
319,Biogen,BIIB,0.04%,179.06,1.28,(0.72%)
320,PPL Corporation,PPL,0.04%,35.23,-0.57,(-1.61%)
321,Huntington Bancshares,HBAN,0.04%,16.62,0.07,(0.45%)
322,Equifax,EFX,0.04%,209.86,0.91,(0.44%)
323,American Water Works,AWK,0.04%,131.53,0.53,(0.40%)
324,Dover Corporation,DOV,0.04%,187.1,2.21,(1.20%)
325,Cincinnati Financial,CINF,0.04%,164.25,-1.78,(-1.07%)
326,AvalonBay Communities,AVB,0.04%,180.26,0.61,(0.34%)
327,Charter Communications,CHTR,0.04%,197.02,0.08,(0.04%)
328,Steris,STE,0.04%,258.97,-3.93,(-1.49%)
329,Veralto,VLTO,0.04%,102.36,1.39,(1.37%)
330,Dexcom,DXCM,0.04%,64.69,1.17,(1.84%)
331,CenterPoint Energy,CNP,0.04%,38.48,-0.66,(-1.67%)
332,Northern Trust,NTRS,0.04%,131.37,0.39,(0.29%)
333,Eversource Energy,ES,0.04%,66.02,-0.53,(-0.80%)
334,PulteGroup,PHM,0.04%,126.68,-0.5,(-0.40%)
335,Ulta Beauty,ULTA,0.04%,545.36,-2.28,(-0.42%)
336,General Mills,GIS,0.04%,45.81,-1.27,(-2.69%)
337,Steel Dynamics,STLD,0.04%,167.02,-0.6,(-0.36%)
338,Iron Mountain,IRM,0.04%,82.3,-0.53,(-0.65%)
339,Dollar General,DG,0.04%,109.6,0.26,(0.24%)
340,Constellation Brands,STZ,0.04%,137.95,0.08,(0.06%)
341,Leidos,LDOS,0.04%,187.5,-0.92,(-0.49%)
342,Waters Corporation,WAT,0.04%,399.86,2.06,(0.52%)
343,HP Inc.,HPQ,0.04%,25.39,1.0,(4.08%)
344,Verisign,VRSN,0.04%,255.24,4.22,(1.68%)
345,Citizens Financial Group,CFG,0.04%,54.89,0.31,(0.58%)
346,Equity Residential,EQR,0.04%,61.87,0.43,(0.70%)
347,Devon Energy,DVN,0.04%,37.48,-0.38,(-1.02%)
348,Teledyne Technologies,TDY,0.04%,495.64,3.08,(0.63%)
349,NetApp,NTAP,0.04%,116.41,4.14,(3.68%)
350,Omnicom Group,OMC,0.04%,72.48,0.47,(0.65%)
351,Jabil,JBL,0.04%,213.24,3.25,(1.55%)
352,Hubbell Incorporated,HUBB,0.04%,428.41,0.56,(0.13%)
353,Halliburton,HAL,0.04%,26.77,0.14,(0.51%)
354,Regions Financial Corporation,RF,0.04%,25.59,0.26,(1.01%)
355,T. Rowe Price,TROW,0.04%,102.63,1.03,(1.02%)
356,Edison International,EIX,0.04%,58.02,-0.11,(-0.19%)
357,PPG Industries,PPG,0.04%,99.3,-0.56,(-0.56%)
358,"Tapestry, Inc.",TPR,0.04%,108.77,-3.33,(-2.97%)
359,Dollar Tree,DLTR,0.04%,108.61,-1.28,(-1.17%)
360,CMS Energy,CMS,0.04%,72.61,-0.55,(-0.76%)
361,LabCorp,LH,0.04%,266.1,-1.63,(-0.61%)
362,Loews Corporation,L,0.04%,106.42,0.02,(0.02%)
363,Lululemon Athletica,LULU,0.04%,183.34,0.93,(0.51%)
