pca_variance,umap_dim,umap_neighbors,umap_min_dist,n_cubes,perc_overlap,dbscan_eps,min_samples,num_nodes,num_links,num_clusters,num_clusters_used,num_tickers_portfolio,train_sharpe,train_return,train_vol,train_max_dd,val_sharpe,val_return,val_vol,val_max_dd,sharpe_diff,overfitting_score,success
0.5,2,15,0.1,8,0.4,0.35,3,71,54,71,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.5,2,15,0.1,8,0.4,0.4,3,46,34,46,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.6,1,15,0.1,5,0.3,0.3,3,21,8,21,3,26,0.8254030647636382,0.19606241341554087,0.23753535912988782,-0.2148376386012745,0.4348160322019905,0.07530005450055206,0.17317681254579867,-0.18861147678790402,0.39058703256164773,0.4732076354398998,True
0.6,1,15,0.1,5,0.3,0.35,3,21,8,21,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.6,1,15,0.1,5,0.3,0.4,3,14,5,14,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.6,1,15,0.1,5,0.4,0.3,3,22,9,22,3,26,0.9124590142019396,0.2254890942340066,0.24712243588412047,-0.2081090945899157,0.12302738943111056,0.02479031843240164,0.20150243410865049,-0.25991260700284907,0.7894316247708291,0.8651694075939251,True
0.6,1,15,0.1,5,0.4,0.35,3,23,8,23,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.6,1,15,0.1,5,0.4,0.4,3,16,6,16,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.6,1,15,0.1,6,0.3,0.3,3,20,6,20,3,68,0.7420099464825688,0.1393547029188869,0.1878070551203327,-0.16029828815185762,0.6810422386011205,0.10119479623342574,0.1485881352106481,-0.2014431750732475,0.06096770788144834,0.0821656207850855,True
0.6,1,15,0.1,6,0.3,0.35,3,16,2,16,3,31,1.084293725854631,0.19711081641874548,0.1817872885535554,-0.13659435519180205,1.4649622215476144,0.20177556432679705,0.13773431243410322,-0.10666359052231912,-0.38066849569298333,0.3510750699889402,True
0.6,1,15,0.1,6,0.3,0.4,3,11,3,11,3,31,1.084293725854631,0.19711081641874548,0.1817872885535554,-0.13659435519180205,1.4649622215476144,0.20177556432679705,0.13773431243410322,-0.10666359052231912,-0.38066849569298333,0.3510750699889402,True
0.6,1,15,0.1,6,0.4,0.3,3,22,9,22,3,26,0.828864005647562,0.19907865074490855,0.24018252619062094,-0.21723583092996196,0.38448827241176714,0.06786307212368693,0.17650232007859287,-0.19970889608539172,0.4443757332357949,0.5361262284379449,True
0.6,1,15,0.1,6,0.4,0.35,3,22,7,22,3,25,1.1133306479614933,0.25359560379079654,0.2277810318570945,-0.1944076274882622,0.7439798810056467,0.12424712742696417,0.16700334323425226,-0.1509763400577373,0.36935076695584657,0.3317529860802155,True
0.6,1,15,0.1,6,0.4,0.4,3,12,5,12,3,25,1.1133306479614933,0.25359560379079654,0.2277810318570945,-0.1944076274882622,0.7439798810056467,0.12424712742696417,0.16700334323425226,-0.1509763400577373,0.36935076695584657,0.3317529860802155,True
0.6,1,15,0.1,8,0.3,0.3,3,23,9,23,3,26,0.8254030647636382,0.19606241341554087,0.23753535912988782,-0.2148376386012745,0.4348160322019905,0.07530005450055206,0.17317681254579867,-0.18861147678790402,0.39058703256164773,0.4732076354398998,True
